SITE_ID,SITE_NAME,COUNTRY,STATE,IGBP,TOWER_BEGAN,TOWER_END,URL_AMERIFLUX,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,CLIMATE_KOEPPEN,MAT,MAP,DATA_POLICY,DATA_START,DATA_END
US-MWS,Michigan State University Campus Site - Spartans,USA,MI,URB,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-MWS,42.7293,-84.4737,261.0,Dfa,9.1,807.0,LEGACY,2017,2021
US-MWU,Battle Creek Area Mathematics and Science Center,USA,MI,URB,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-MWU,42.3228,-85.1871,256.0,Dfa,9.0,842.0,LEGACY,2018,2021
US-MWW,Allegan Wetland,USA,MI,WET,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-MWW,42.6689,-86.0229,209.0,Dfa,10.0,926.0,LEGACY,2018,2021
US-Myb,Mayberry Wetland,USA,CA,WET,2010,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Myb,38.0499,-121.765,-4.0,Csa,15.9,338.0,CCBY4.0,2010,2023
US-NC1,NC_Clearcut,USA,NC,ENF,2005,2013,https://ameriflux.lbl.gov/sites/siteinfo/US-NC1,35.8118,-76.7119,5.0,Cfa,16.6,1320.0,CCBY4.0,2005,2012
US-NC2,NC_Loblolly Plantation,USA,NC,ENF,2005,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-NC2,35.803,-76.6685,5.0,Cfa,16.6,1320.0,CCBY4.0,2005,2023
US-NC3,NC_Clearcut#3,USA,NC,ENF,2013,2021,https://ameriflux.lbl.gov/sites/siteinfo/US-NC3,35.799,-76.656,5.0,Cfa,16.6,1320.0,CCBY4.0,2013,2021
US-NC4,NC_AlligatorRiver,USA,NC,WET,2009,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-NC4,35.7879,-75.9038,1.0,Cfa,16.6,1311.0,CCBY4.0,2009,2021
US-Ne1,Mead - irrigated continuous maize site,USA,NE,CRO,2001,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Ne1,41.1651,-96.4766,361.0,Dfa,10.07,790.37,CCBY4.0,2001,2023
US-Ne2,Mead - irrigated maize-soybean rotation site,USA,NE,CRO,2001,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Ne2,41.1649,-96.4701,362.0,Dfa,10.08,788.89,CCBY4.0,2001,2023
US-Ne3,Mead - rainfed maize-soybean rotation site,USA,NE,CRO,2001,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Ne3,41.1797,-96.4397,363.0,Dfa,10.11,783.68,CCBY4.0,2001,2023
US-NGB,NGEE Arctic Barrow,USA,AK,SNO,2012,2023,https://ameriflux.lbl.gov/sites/siteinfo/US-NGB,71.28,-156.6092,5.273,ET,-11.27,171.0,CCBY4.0,2012,2023
US-NGC,NGEE Arctic Council,USA,AK,GRA,2017,2023,https://ameriflux.lbl.gov/sites/siteinfo/US-NGC,64.8618,-163.7002,35.0,ET,,,CCBY4.0,2017,2023
US-NMj,Northern Michigan Jack Pine Stand,USA,MI,ENF,2001,2007,https://ameriflux.lbl.gov/sites/siteinfo/US-NMj,46.6465,-88.5194,394.0,Dfb,4.73,854.01,CCBY4.0,2001,2003
US-NP1,Business-As-Usual Management (mandanh5),USA,ND,CRO,2015,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-NP1,46.7756,-100.951,593.0,Bsh,5.4,420.0,CCBY4.0,-2147483648,-2147483648
US-NP2,ASPirational Management (mandani2),USA,ND,CRO,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-NP2,46.7613,-100.9257,590.0,Bsh,5.4,420.0,CCBY4.0,-2147483648,-2147483648
US-NR1,Niwot Ridge Forest (LTER NWT1),USA,CO,ENF,1998,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-NR1,40.0329,-105.5464,3050.0,Dfc,1.5,800.0,CCBY4.0,1998,2023
US-NR2,Niwot Ridge Forest (USGS site),USA,CO,ENF,2000,2016,https://ameriflux.lbl.gov/sites/siteinfo/US-NR2,40.0325,-105.5469,3030.0,Dfc,0.43,595.37,LEGACY,-2147483648,-2147483648
US-NR3,Niwot Ridge Alpine (T-Van West),USA,CO,GRA,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-NR3,40.052,-105.5864,3504.0,ET,-2.2,884.0,CCBY4.0,2007,2022
US-NR4,Niwot Ridge Alpine (T-Van East),USA,CO,GRA,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-NR4,40.052,-105.5859,3502.0,ET,-2.2,884.0,CCBY4.0,2007,2022
US-Nrf,Nisqually reference,USA,WA,WET,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Nrf,47.0935,-122.6927,8.0,Csb,10.3,1269.0,CCBY4.0,-2147483648,-2147483648
US-Nrs,Nisqually restoring,USA,WA,WET,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Nrs,47.0936,-122.7079,8.0,Csb,10.3,1269.0,CCBY4.0,-2147483648,-2147483648
US-NSW,Newman Seasonal Wetlands,USA,CA,GRA,2022,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-NSW,37.3091,-121.0042,23.5,Csb,17.9,294.0,LEGACY,-2147483648,-2147483648
US-OF1,Osceola Farm Rice Field - SW,USA,AR,CRO,NA_character_,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-OF1,35.7371,-90.0492,69.8,Cfa,16.3,1277.1,CCBY4.0,-2147483648,-2147483648
US-OF2,Osceola Farm Rice Field - NW,USA,AR,CRO,NA_character_,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-OF2,35.7406,-90.0489,69.4,Cfa,16.3,1277.1,CCBY4.0,-2147483648,-2147483648
US-Oho,Oak Openings,USA,OH,DBF,2004,2013,https://ameriflux.lbl.gov/sites/siteinfo/US-Oho,41.5545,-83.8438,230.0,Dfa,10.1,849.0,CCBY4.0,2004,2013
US-ONA,Florida pine flatwoods,USA,FL,GRA,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-ONA,27.3836,-81.9509,25.0,Cfa,22.3,1268.0,CCBY4.0,2016,2021
US-OPE,Optimizing Production Inputs for Economic and Environmental Enhancement (OPE3),USA,MD,CRO,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-OPE,39.0293,-76.8457,40.0,Cfa,13.0,1192.0,LEGACY,2022,2022
US-ORv,Olentangy River Wetland Research Park,USA,OH,WET,2011,2016,https://ameriflux.lbl.gov/sites/siteinfo/US-ORv,40.0201,-83.0183,221.0,Cfa,11.63,1499.1,CCBY4.0,2011,2016
US-OWC,Old Woman Creek,USA,OH,WET,2015,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-OWC,41.3795,-82.5125,174.0,Dfb,10.7,930.0,CCBY4.0,2015,2023
US-PAS,"Florida, Paspalum notatum pasture",USA,FL,GRA,2021,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-PAS,27.3944,-81.951,27.1,Cfa,22.3,1268.0,CCBY4.0,2021,2022
US-PeA,5R Pecan Farm Above Canopy,USA,TX,DBF,2022,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-PeA,31.4123,-106.0788,1092.0,Bwk,14.72,232.66,CCBY4.0,-2147483648,-2147483648
US-PFa,Park Falls/WLEF,USA,WI,MF,1996,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-PFa,45.9459,-90.2723,470.0,Dfb,4.33,823.0,CCBY4.0,1995,2023
US-PFb,NW1 Pine-1 CHEESEHEAD 2019,USA,WI,ENF,2019,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-PFb,45.972,-90.3232,474.0,Dfb,4.33,823.0,CCBY4.0,2019,2019
US-PFc,NW2 Aspen-1 CHEESEHEAD 2019,USA,WI,DBF,2019,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-PFc,45.9677,-90.3088,473.0,Dfb,4.33,823.0,CCBY4.0,2019,2019
US-PFd,NW3 Tussock-1 CHEESEHEAD 2019,USA,WI,WET,2019,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-PFd,45.9689,-90.301,473.0,Dfb,4.33,823.0,CCBY4.0,2019,2019
US-PFe,NW4 Lake-1 CHEESEHEAD 2019,USA,WI,WAT,2019,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-PFe,45.9793,-90.3004,480.0,Dfb,4.33,823.0,CCBY4.0,2019,2019
US-PFf,NW5 Grass-1 CHEESEHEAD 2019,USA,WI,GRA,2019,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-PFf,45.9458,-90.2944,464.0,Dfb,4.33,823.0,CCBY4.0,2019,2019
US-PFg,NE1 Pine-2 CHEESEHEAD 2019,USA,WI,ENF,2019,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-PFg,45.9735,-90.2723,475.0,Dfb,4.33,823.0,CCBY4.0,2019,2019
US-PFh,NE2 Pine-3 CHEESEHEAD 2019,USA,WI,ENF,2019,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-PFh,45.9557,-90.2406,463.0,Dfb,4.33,823.0,CCBY4.0,2019,2019
US-PFi,NE3 Hardwood-1 CHEESEHEAD 2019,USA,WI,DBF,2019,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-PFi,45.9749,-90.2327,488.0,Dfb,4.33,823.0,CCBY4.0,2019,2019
US-PFj,NE4 Maple-1 CHEESEHEAD 2019,USA,WI,DBF,2019,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-PFj,45.9619,-90.227,484.0,Dfb,4.33,823.0,CCBY4.0,2019,2019
US-PFk,SW1 Aspen-2 CHEESEHEAD 2019,USA,WI,DBF,2019,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-PFk,45.9149,-90.3425,476.0,Dfb,4.33,823.0,CCBY4.0,2019,2019
US-PFL,SW2 Aspen-3 CHEESEHEAD 2019,USA,WI,DBF,2019,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-PFL,45.9409,-90.3177,464.0,Dfb,4.33,823.0,CCBY4.0,2019,2019
US-PFm,SW3 Hardwood-2 CHEESEHEAD 2019,USA,WI,DBF,2019,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-PFm,45.9207,-90.3099,484.0,Dfb,4.33,823.0,CCBY4.0,2019,2019
US-PFn,SW4 Hardwood-3 CHEESEHEAD 2019,USA,WI,DBF,2019,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-PFn,45.9392,-90.2823,478.0,Dfb,4.33,823.0,CCBY4.0,2019,2019
US-PFo,SE1 Lake-2 CHEESEHEAD 2019,USA,WI,WAT,2019,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-PFo,45.9229,-90.2728,476.0,Dfb,4.33,823.0,CCBY4.0,2019,2019
US-PFp,SE2 Hardwood-4 CHEESEHEAD 2019,USA,WI,DBF,2019,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-PFp,45.9365,-90.2641,497.0,Dfb,4.33,823.0,CCBY4.0,2019,2019
US-PFq,SE3 Aspen-4 CHEESEHEAD 2019,USA,WI,DBF,2019,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-PFq,45.9271,-90.2475,473.0,Dfb,4.33,823.0,CCBY4.0,2019,2019
US-PFr,SE4 Tussock-2 CHEESEHEAD 2019,USA,WI,WET,2019,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-PFr,45.9245,-90.2475,490.0,Dfb,4.33,823.0,CCBY4.0,2019,2019
US-PFs,SE5 Aspen-5 CHEESEHEAD 2019,USA,WI,DBF,2019,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-PFs,45.9381,-90.2382,489.0,Dfb,4.33,823.0,CCBY4.0,2019,2019
US-PFt,SE6 Pine-4 CHEESEHEAD 2019,USA,WI,ENF,2019,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-PFt,45.9197,-90.2288,466.0,Dfb,4.33,823.0,CCBY4.0,2019,2019
US-PHM,Plum Island High Marsh,USA,MA,WET,2013,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-PHM,42.7423,-70.8301,1.4,Dfa,7.2,1262.0,CCBY4.0,2013,2020
US-PiU,Pine Upland,USA,FL,WET,2012,2014,https://ameriflux.lbl.gov/sites/siteinfo/US-PiU,26.0004,-80.9261,3.04,Cwa,23.1,1312.0,CCBY4.0,-2147483648,-2147483648
US-PLM,Plum Island Low Marsh,USA,MA,WET,2015,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-PLM,42.7345,-70.8382,1.0,Dfa,8.7,1262.0,CCBY4.0,-2147483648,-2147483648
US-PLo,Plum Island Oligohaline Marsh,USA,MA,WET,2022,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-PLo,42.7496,-70.9157,1.4,Dfa,8.7,1262.0,CCBY4.0,-2147483648,-2147483648
US-Pnp,"Lake Mendota, Picnic Point Site",USA,WI,WAT,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Pnp,43.0896,-89.4158,260.0,Dfa,7.94,875.0,CCBY4.0,2016,2022
US-Pon,Ponca City,USA,OK,CRO,1997,2001,https://ameriflux.lbl.gov/sites/siteinfo/US-Pon,36.7667,-97.1333,310.0,Cfa,14.94,866.34,LEGACY,1997,2000
US-Prr,Poker Flat Research Range Black Spruce Forest,USA,AK,ENF,2011,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Prr,65.1237,-147.4876,210.0,Dwc,-2.0,275.0,CCBY4.0,2010,2022
US-PSH,USSL San Joaquin Valley Pistachio High,USA,CA,DBF,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-PSH,36.2347,-119.9247,70.0,Bsk,15.6,191.0,CCBY4.0,2016,2017
US-PSL,USSL San Joaquin Valley Pistachio Low,USA,CA,DBF,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-PSL,36.8276,-120.1397,65.0,Bsk,16.7,311.0,CCBY4.0,2016,2017
US-PVA,PVAMU Research Farm,USA,TX,CRO,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-PVA,30.0958,-95.9695,86.5,Cfa,20.7,1118.0,LEGACY,-2147483648,-2147483648
US-Px1,"Phoenix, Maryvale Neighborhood Site",USA,AZ,URB,2024,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Px1,33.4839,-112.1426,332.0,Bwh,24.2,183.0,CCBY4.0,-2147483648,-2147483648
US-Px2,"Phoenix, Encanto Golf Course",USA,AZ,GRA,2024,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Px2,33.4785,-112.098,331.0,Bwh,24.2,203.0,CCBY4.0,-2147483648,-2147483648
US-Px3,"Phoenix, Desert botanical garden site",USA,AZ,BSV,2024,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Px3,33.4582,-111.9428,396.0,Bwh,24.0,172.0,CCBY4.0,-2147483648,-2147483648
US-RC1,Cook Agronomy Farm - No Till,USA,WA,CRO,2011,2016,https://ameriflux.lbl.gov/sites/siteinfo/US-RC1,46.7837,-117.0777,807.0,Dsb,9.0,550.0,CCBY4.0,2011,2016
US-RC2,Cook Agronomy Farm - Conventional Till,USA,WA,CRO,2012,2016,https://ameriflux.lbl.gov/sites/siteinfo/US-RC2,46.7776,-117.0807,799.0,Dsb,9.0,550.0,CCBY4.0,2012,2016
US-RC3,WSU Lind Dryland Research Station,USA,WA,CRO,2011,2016,https://ameriflux.lbl.gov/sites/siteinfo/US-RC3,46.991,-118.598,,Dsb,10.0,280.0,CCBY4.0,2011,2016
US-RC4,Moscow Mountain on-farm site,USA,WA,CRO,2012,2016,https://ameriflux.lbl.gov/sites/siteinfo/US-RC4,46.758,-116.949,817.0,Dsb,9.0,680.0,CCBY4.0,2012,2016
US-RC5,Moses Lake on-farm site,USA,WA,CRO,2013,2015,https://ameriflux.lbl.gov/sites/siteinfo/US-RC5,47.01,-119.248,349.0,Dsb,11.0,230.0,CCBY4.0,2013,2015
US-RFE,RockyFlats - East site,USA,CO,GRA,2012,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-RFE,39.8771,-105.169,1725.0,Bsk,10.2,468.0,LEGACY,-2147483648,-2147483648
US-RFW,RockyFlats - West site,USA,CO,GRA,2010,2017,https://ameriflux.lbl.gov/sites/siteinfo/US-RFW,39.8751,-105.2184,1864.0,Bsk,10.2,468.0,LEGACY,-2147483648,-2147483648
US-RGA,Arkansas Corn Farm,USA,AR,CRO,2021,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-RGA,34.4159,-91.6733,61.0,Csa,16.7,1250.0,CCBY4.0,2021,2023
US-RGB,Butte County Rice Farm,USA,CA,CRO,2021,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-RGB,39.5782,-121.8579,33.0,Csa,16.0,737.0,CCBY4.0,2021,2023
US-RGF,Stanislaus County Forage Farm,USA,CA,CRO,2023,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-RGF,37.6995,-121.1369,16.0,Csa,17.2,31.0,CCBY4.0,2023,2024
US-RGG,Glenn County Rice Farm,USA,CA,CRO,2020,2021,https://ameriflux.lbl.gov/sites/siteinfo/US-RGG,39.5944,-122.0253,36.0,Csa,16.0,610.0,CCBY4.0,-2147483648,-2147483648
US-RGo,Glenn County Organic Rice Farm,USA,CA,CRO,2021,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-RGo,39.6805,-122.0026,40.0,Csa,16.0,610.0,CCBY4.0,2021,2023
US-RGW,Desha County Rice Farm,USA,AR,CRO,2022,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-RGW,33.6216,-91.4306,41.0,Csa,16.7,1283.0,CCBY4.0,2022,2023
US-Rls,RCEW Low Sagebrush,USA,ID,CSH,2014,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Rls,43.1439,-116.7356,1608.0,Bsh,8.4,333.0,CCBY4.0,2014,2022
US-Rms,RCEW Mountain Big Sagebrush,USA,ID,CSH,2014,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Rms,43.0645,-116.7486,2111.0,Bsh,5.4,800.0,CCBY4.0,2014,2022
US-Ro1,Rosemount- G21,USA,MN,CRO,2003,2017,https://ameriflux.lbl.gov/sites/siteinfo/US-Ro1,44.7143,-93.0898,290.0,Dfa,6.4,879.0,CCBY4.0,2004,2016
US-Ro2,Rosemount- C7,USA,MN,CRO,2003,2017,https://ameriflux.lbl.gov/sites/siteinfo/US-Ro2,44.7288,-93.0888,292.0,Dfa,6.4,879.0,CCBY4.0,2008,2016
US-Ro3,Rosemount- G19,USA,MN,CRO,2003,2010,https://ameriflux.lbl.gov/sites/siteinfo/US-Ro3,44.7217,-93.0893,260.0,Dfa,6.4,879.0,CCBY4.0,2004,2007
US-Ro4,Rosemount Prairie,USA,MN,GRA,2014,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Ro4,44.6781,-93.0723,274.0,Dfa,6.4,879.0,CCBY4.0,2014,2023
US-Ro5,Rosemount I18_South,USA,MN,CRO,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Ro5,44.691,-93.0576,283.0,Dfa,6.4,879.0,CCBY4.0,2017,2023
US-Ro6,Rosemount I18_North,USA,MN,CRO,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Ro6,44.6946,-93.0578,282.0,Dfa,6.4,879.0,CCBY4.0,2017,2023
US-Rpf,Poker Flat Research Range: Succession from fire scar to deciduous forest,USA,AK,DBF,2008,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Rpf,65.1198,-147.429,497.0,Dwc,-0.8,450.0,CCBY4.0,2008,2023
US-RRC,Rice Rivers Center Marsh,USA,VA,WET,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-RRC,37.3344,-77.2065,0.1,Dfa,15.4,1117.0,CCBY4.0,2022,2023
US-Rwe,RCEW Reynolds Mountain East,USA,ID,CSH,2003,2007,https://ameriflux.lbl.gov/sites/siteinfo/US-Rwe,43.0653,-116.7591,2098.0,Bsh,5.4,800.0,CCBY4.0,2003,2007
US-Rwf,RCEW Upper Sheep Prescibed Fire,USA,ID,CSH,2014,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Rwf,43.1207,-116.7231,1878.0,Bsh,6.5,505.0,CCBY4.0,2014,2022
US-Rws,Reynolds Creek Wyoming big sagebrush,USA,ID,OSH,2014,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Rws,43.1675,-116.7132,1425.0,Bsk,8.9,290.0,CCBY4.0,2014,2022
US-Sag,Sag River,USA,AK,WET,1996,1996,https://ameriflux.lbl.gov/sites/siteinfo/US-Sag,69.5131,-148.5676,170.0,Dfc,-8.0,121.0,CCBY4.0,1996,1996
US-SB1,Sweet Briar Land-Atmosphere Research Station,USA,VA,ENF,2015,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SB1,37.5734,-79.0848,242.0,Cfa,12.7,1016.0,LEGACY,-2147483648,-2147483648
US-SB2,Sweet Briar Grass,USA,VA,CRO,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SB2,37.5607,-79.0883,240.0,Cfa,12.7,1016.0,LEGACY,-2147483648,-2147483648
US-SB3,Sweet Briar Clearcut,USA,VA,BSV,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SB3,37.5752,-79.0872,253.0,Cfa,12.7,1016.0,LEGACY,-2147483648,-2147483648
US-SCc,Southern California Climate Gradient - Desert Chaparral,USA,CA,OSH,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SCc,33.6094,-116.4505,1280.0,NA_character_,,,LEGACY,-2147483648,-2147483648
US-SCd,Southern California Climate Gradient - Sonoran Desert,USA,CA,BSV,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SCd,33.6518,-116.3721,275.0,NA_character_,,,LEGACY,2006,2014
US-SCf,Southern California Climate Gradient - Oak/Pine Forest,USA,CA,MF,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SCf,33.8079,-116.7717,1770.0,NA_character_,,,LEGACY,2006,2015
US-SCg,Southern California Climate Gradient - Grassland,USA,CA,GRA,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SCg,33.7365,-117.6946,465.0,NA_character_,,,LEGACY,2006,2016
US-SCs,Southern California Climate Gradient - Coastal Sage,USA,CA,OSH,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SCs,33.7343,-117.6959,470.0,NA_character_,,,LEGACY,2006,2016
US-SCw,Southern California Climate Gradient - Pinyon/Juniper Woodland,USA,CA,OSH,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SCw,33.6047,-116.4527,1281.0,NA_character_,,,LEGACY,2006,2016
US-SdH,Nebraska SandHills Dry Valley,USA,NE,GRA,2004,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SdH,42.0693,-101.4072,1081.0,Dsb,,,CCBY4.0,2004,2009
US-SDU,South Denver Urban Tower,USA,CO,URB,2010,2014,https://ameriflux.lbl.gov/sites/siteinfo/US-SDU,39.6594,-105.0127,1618.0,Bsk,10.04,406.0,LEGACY,-2147483648,-2147483648
US-Seg,Sevilleta grassland,USA,NM,GRA,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Seg,34.3623,-106.702,1596.0,Bsk,13.667,273.304,CCBY4.0,2007,2023
US-Ses,Sevilleta shrubland,USA,NM,OSH,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Ses,34.3349,-106.7442,1604.0,Bsk,13.722,275.082,CCBY4.0,2007,2023
US-SFP,Sioux Falls Portable,USA,SD,CRO,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SFP,43.2408,-96.902,386.0,NA_character_,,,LEGACY,2007,2009
US-SHC,Sagehen Creek Field Station,USA,CA,ENF,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SHC,39.4315,-120.2398,1934.0,Dsb,5.3,827.0,LEGACY,-2147483648,-2147483648
US-Shd,Shidler- Oklahoma,USA,OK,GRA,1997,2001,https://ameriflux.lbl.gov/sites/siteinfo/US-Shd,36.9333,-96.6833,346.0,Cfa,14.32,897.91,LEGACY,1997,2000
US-SHS,Secaucus High School Site,USA,NJ,WET,2011,2013,https://ameriflux.lbl.gov/sites/siteinfo/US-SHS,40.8052,-74.0457,1.0,Cfa,13.5,1120.0,LEGACY,-2147483648,-2147483648
US-Si1,Staten Island Fallow,USA,CA,CRO,2012,2013,https://ameriflux.lbl.gov/sites/siteinfo/US-Si1,38.1747,-121.5047,-3.8,Csb,15.0,328.1,LEGACY,-2147483648,-2147483648
US-Si2,Staten Island Flooded,USA,CA,CRO,2011,2013,https://ameriflux.lbl.gov/sites/siteinfo/US-Si2,38.1758,-121.5167,-3.8,Csb,15.0,328.1,LEGACY,-2147483648,-2147483648
US-SJ1,San Joaquin (Freshwater Marsh Tower 1),USA,CA,WET,1999,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SJ1,33.6623,-117.8514,3.0,NA_character_,,,LEGACY,-2147483648,-2147483648
US-SJ2,San Joaquin (Freshwater Marsh Tower 2),USA,CA,WET,2003,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SJ2,33.6596,-117.855,3.0,NA_character_,,,LEGACY,-2147483648,-2147483648
US-Skr,Shark River Slough (Tower SRS-6)  Everglades,USA,FL,EBF,2004,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Skr,25.3629,-81.0776,0.0,Cwa,23.77,1259.0,LEGACY,2004,2011
US-Slt,Silas Little- New Jersey,USA,NJ,DBF,2004,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Slt,39.9138,-74.596,30.0,Dfa,11.04,1138.0,CCBY4.0,2005,2014
US-SM1,Texas SmartFarm Project,USA,TX,CRO,2021,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SM1,36.3934,-100.9537,897.0,Bsk,12.9,559.0,LEGACY,-2147483648,-2147483648
US-Snd,Sherman Island,USA,CA,GRA,2007,2015,https://ameriflux.lbl.gov/sites/siteinfo/US-Snd,38.0366,-121.754,-5.0,Csa,15.6,358.0,CCBY4.0,2007,2014
US-Sne,Sherman Island Restored Wetland,USA,CA,GRA,2016,2021,https://ameriflux.lbl.gov/sites/siteinfo/US-Sne,38.0369,-121.7547,-5.0,Csa,16.09,311.0,CCBY4.0,2016,2020
US-Snf,Sherman Barn,USA,CA,GRA,2018,2020,https://ameriflux.lbl.gov/sites/siteinfo/US-Snf,38.0402,-121.7272,-4.0,Csa,,,CCBY4.0,2018,2020
US-SO2,Sky Oaks- Old Stand,USA,CA,CSH,1997,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SO2,33.3738,-116.6228,1394.0,Csa,13.63,553.0,LEGACY,1997,2006
US-SO3,Sky Oaks- Young Stand,USA,CA,CSH,1997,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SO3,33.3771,-116.6226,1429.0,Csa,13.29,576.0,LEGACY,1997,2006
US-SO4,Sky Oaks- New Stand,USA,CA,CSH,2004,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SO4,33.3845,-116.6406,1429.0,Csa,,,LEGACY,2004,2006
US-SP1,Slashpine-Austin Cary- 65yrs nat regen,USA,FL,ENF,2000,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-SP1,29.7381,-82.2188,50.0,Cfa,20.06,1309.77,CCBY4.0,2000,2020
