SITE_ID,SITE_NAME,COUNTRY,STATE,IGBP,TOWER_BEGAN,TOWER_END,URL_AMERIFLUX,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,CLIMATE_KOEPPEN,MAT,MAP,DATA_POLICY,DATA_START,DATA_END
US-Dix,Fort Dix,USA,NJ,MF,2005,2008,https://ameriflux.lbl.gov/sites/siteinfo/US-Dix,39.9712,-74.4346,48.0,Cfa,11.07,1126.63,CCBY4.0,2005,2008
US-Dk1,Duke Forest-open field,USA,NC,GRA,2001,2008,https://ameriflux.lbl.gov/sites/siteinfo/US-Dk1,35.9712,-79.0934,168.0,Cfa,14.36,1169.75,CCBY4.0,2001,2008
US-Dk2,Duke Forest-hardwoods,USA,NC,DBF,2001,2008,https://ameriflux.lbl.gov/sites/siteinfo/US-Dk2,35.9736,-79.1004,168.0,Cfa,14.36,1168.69,CCBY4.0,2001,2008
US-Dk3,Duke Forest - loblolly pine,USA,NC,ENF,2001,2008,https://ameriflux.lbl.gov/sites/siteinfo/US-Dk3,35.9782,-79.0942,163.0,Cfa,14.36,1169.69,CCBY4.0,2001,2008
US-Dmg,Dutch Slough Marsh Gilbert Tract,USA,CA,WET,2021,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Dmg,38.0015,-121.6691,1.0,Csa,16.1,365.0,CCBY4.0,2021,2023
US-DPP,Disney Wilderness Preserve Pine Flatwoods,USA,FL,ENF,2010,2016,https://ameriflux.lbl.gov/sites/siteinfo/US-DPP,28.1046,-81.419,23.0,Cwa,22.6,1142.0,CCBY4.0,-2147483648,-2147483648
US-DPW,Disney Wilderness Preserve Wetland,USA,FL,WET,2013,2017,https://ameriflux.lbl.gov/sites/siteinfo/US-DPW,28.0521,-81.4361,23.0,Cwa,22.6,1142.0,CCBY4.0,2013,2017
US-DS1,Staten Corn 1,USA,CA,CRO,2018,2020,https://ameriflux.lbl.gov/sites/siteinfo/US-DS1,38.1335,-121.539,-6.0,Csa,16.0,432.0,LEGACY,-2147483648,-2147483648
US-DS2,Staten Corn 2,USA,CA,CRO,2020,2024,https://ameriflux.lbl.gov/sites/siteinfo/US-DS2,38.1375,-121.514,-6.0,Csa,16.0,432.0,LEGACY,-2147483648,-2147483648
US-DS3,Staten Rice 1,USA,CA,CRO,2021,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-DS3,38.1235,-121.549,-7.0,Csa,16.0,432.0,CCBY4.0,2021,2023
US-EA4,EAA Field Research Park Woodland,USA,TX,MF,2021,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-EA4,29.6633,-98.3816,297.0,Cfa,20.3,836.0,CCBY4.0,2021,2024
US-EA5,Uvalde Ranch Mesquite Woodland,USA,TX,CSH,2021,2023,https://ameriflux.lbl.gov/sites/siteinfo/US-EA5,29.3584,-99.9576,322.0,Cfa,20.9,632.0,CCBY4.0,2021,2023
US-EA6,Camp Wood Shield Ranch Oak Savannah,USA,TX,WSA,2023,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-EA6,29.6561,-99.9588,480.0,Cfa,19.4,703.0,CCBY4.0,2023,2024
US-EDN,Eden Landing Ecological Reserve,USA,CA,WET,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-EDN,37.6156,-122.114,,Csa,,,CCBY4.0,2018,2019
US-EKH,Elkhorn Slough Hester Marsh,USA,CA,WET,2022,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-EKH,36.8094,-121.7523,0.5,Csb,10.0,894.0,CCBY4.0,-2147483648,-2147483648
US-EKN,Elkhorn Slough North Marsh,USA,CA,WET,2023,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-EKN,36.8357,-121.7328,0.0,Cfc,10.0,894.0,CCBY4.0,-2147483648,-2147483648
US-EKP,Elkhorn Slough Porter Marsh,USA,CA,WET,2022,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-EKP,36.8558,-121.7488,0.0,Csb,10.0,894.0,CCBY4.0,-2147483648,-2147483648
US-EKY,Elkhorn Slough Yampah Marsh,USA,CA,WET,2022,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-EKY,36.8105,-121.7487,0.0,Csb,10.0,894.0,CCBY4.0,-2147483648,-2147483648
US-Elm,Everglades (long hydroperiod marsh),USA,FL,WET,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Elm,25.5519,-80.7826,0.77,NA_character_,,,CCBY4.0,2008,2014
